Time,SP,PV,OP,Error
1,0,-1.5707,-0.80926,1.5707
2,0,-1.4994,-0.80926,1.4994
3,0,-1.2357,-0.80926,1.2357
4,0,-0.74773,-0.80926,0.74773
5,0,-0.14244,-0.51187,0.14244
6,0,0.34905,-0.384,-0.34905
7,0,0.58485,-0.54661,-0.58485
8,0,0.67465,-0.59232,-0.67465
9,0,0.68768,-0.71637,-0.68768
10,0,0.53894,-0.79854,-0.53894
11,0,0.27022,-0.80926,-0.27022
12,0,-0.014942,-0.80926,0.014942
13,0,-0.37002,-0.80926,0.37002
14,0,-0.80736,-0.80926,0.80736
15,0,-1.257,-0.80926,1.257
16,0,-1.5925,-0.80926,1.5925
17,0,-1.7936,-0.80926,1.7936
18,0,-1.8185,-0.80926,1.8185
19,0,-1.543,-0.80926,1.543
20,0,-1.0354,-0.80926,1.0354
21,0,-0.4276,-0.80926,0.4276
22,0,0.15712,-0.52025,-0.15712
23,0,0.54688,-0.36663,-0.54688
24,0,0.74951,-0.29406,-0.74951
25,0,0.81778,-0.21534,-0.81778
26,0,0.68069,-0.54661,-0.68069
27,0,0.43144,-0.77895,-0.43144
28,0,0.18686,-0.80926,-0.18686
29,0,-0.11502,-0.80926,0.11502
30,0,-0.50685,-0.80926,0.50685
31,0,-0.94995,-0.80926,0.94995
32,0,-1.3181,-0.80926,1.3181
33,0,-1.5529,-0.80926,1.5529
34,0,-1.7225,-0.80926,1.7225
35,0,-1.6722,-0.80926,1.6722
36,0,-1.3047,-0.80926,1.3047
37,0,-0.7761,-0.80926,0.7761
38,0,-0.29297,-0.80926,0.29297
39,0,0.11339,-0.75167,-0.11339
40,0,0.41499,-0.62632,-0.41499
41,0,0.49972,-0.66358,-0.49972
42,0,0.37661,-0.78893,-0.37661
43,0,0.1578,-0.80926,-0.1578
44,0,-0.072521,-0.80926,0.072521
45,0,-0.30284,-0.80926,0.30284
46,0,-0.64737,-0.80926,0.64737
47,0,-1.1262,-0.80926,1.1262
48,0,-1.5018,-0.80926,1.5018
49,0,-1.7319,-0.80926,1.7319
50,0,-1.8844,-0.80926,1.8844
51,0,-1.8452,-0.80926,1.8452
52,0,-1.5921,-0.80926,1.5921
53,0,-1.1158,-0.80926,1.1158
54,0,-0.51262,-0.80926,0.51262
55,0,0.065121,-0.64172,-0.065121
56,0,0.52823,-0.45822,-0.52823
57,0,0.77665,-0.45828,-0.77665
58,0,0.90196,-0.13114,-0.90196
59,0,0.87957,-0.12911,-0.87957
60,0,0.70181,-0.48883,-0.70181
61,0,0.50073,-0.63433,-0.50073
62,0,0.21031,-0.78524,-0.21031
63,0,-0.18522,-0.80926,0.18522
64,0,-0.59418,-0.80926,0.59418
65,0,-1.0004,-0.80926,1.0004
66,0,-1.3549,-0.80926,1.3549
67,0,-1.5279,-0.80926,1.5279
68,0,-1.4748,-0.80926,1.4748
69,0,-1.1237,-0.80926,1.1237
70,0,-0.53728,-0.77052,0.53728
71,0,0.031122,-0.68619,-0.031122
72,0,0.5392,-0.26936,-0.5392
73,0,0.90073,0.04367,-0.90073
74,0,0.99561,-0.15868,-0.99561
75,0,0.94282,-0.20925,-0.94282
76,0,0.78064,-0.22729,-0.78064
77,0,0.57212,-0.20931,-0.57212
78,0,0.30697,-0.38572,-0.30697
79,0,-0.079106,-0.7505,0.079106
80,0,-0.48725,-0.80926,0.48725
81,0,-0.89813,-0.80926,0.89813
82,0,-1.2232,-0.80926,1.2232
83,0,-1.4468,-0.80926,1.4468
84,0,-1.5386,-0.80926,1.5386
85,0,-1.3256,-0.80926,1.3256
86,0,-0.89456,-0.80926,0.89456
87,0,-0.32671,-0.70329,0.32671
88,0,0.23676,-0.47265,-0.23676
89,0,0.66561,-0.2233,-0.66561
90,0,0.94557,0.026041,-0.94557
91,0,1.0308,0.27538,-1.0308
92,0,0.97847,0.36012,-0.97847
93,0,0.75801,-0.16138,-0.75801
94,0,0.47861,-0.7261,-0.47861
95,0,0.19345,-0.80926,-0.19345
96,0,-0.21057,-0.80926,0.21057
97,0,-0.6985,-0.80926,0.6985
98,0,-1.0833,-0.80926,1.0833
99,0,-1.3338,-0.80926,1.3338
100,0,-1.4942,-0.80926,1.4942
101,0,-1.4092,-0.80926,1.4092
102,0,-1.0314,-0.80926,1.0314
103,0,-0.4553,-0.80926,0.4553
104,0,0.15026,-0.60611,-0.15026
105,0,0.69331,-0.074964,-0.69331
106,0,1.1064,0.59675,-1.1064
107,0,1.2188,0.73861,-1.2188
108,0,1.121,0.50251,-1.121
109,0,0.91801,0.33188,-0.91801
110,0,0.62448,-0.12418,-0.62448
111,0,0.31738,-0.53298,-0.31738
112,0,-0.054974,-0.66562,0.054974
113,0,-0.50411,-0.75267,0.50411
114,0,-0.96475,-0.80273,0.96475
115,0,-1.3135,-0.80926,1.3135
116,0,-1.5307,-0.80926,1.5307
117,0,-1.6116,-0.80926,1.6116
118,0,-1.3782,-0.80926,1.3782
119,0,-0.91595,-0.80926,0.91595
120,0,-0.38977,-0.72758,0.38977
121,0,0.12819,-0.66291,-0.12819
122,0,0.50849,-0.60901,-0.50849
123,0,0.69714,-0.44818,-0.69714
124,0,0.72099,-0.48298,-0.72099
125,0,0.61845,-0.58603,-0.61845
126,0,0.38593,-0.66722,-0.38593
127,0,0.13368,-0.78967,-0.13368
128,0,-0.11392,-0.80926,0.11392
129,0,-0.4819,-0.80926,0.4819
130,0,-0.87126,-0.80926,0.87126
131,0,-1.2,-0.80926,1.2
132,0,-1.4761,-0.80926,1.4761
133,0,-1.6376,-0.80926,1.6376
134,0,-1.5844,-0.80926,1.5844
135,0,-1.2496,-0.80926,1.2496
136,0,-0.75471,-0.80926,0.75471
137,0,-0.2905,-0.80926,0.2905
138,0,0.11339,-0.80926,-0.11339
139,0,0.3614,-0.80926,-0.3614
140,0,0.43667,-0.80926,-0.43667
141,0,0.42309,-0.80926,-0.42309
142,0,0.28654,-0.80926,-0.28654
143,0,0.081304,-0.80926,-0.081304
144,0,-0.20326,-0.80926,0.20326
145,0,-0.57101,-0.80926,0.57101
146,0,-0.95123,-0.80926,0.95123
147,0,-1.3656,-0.80926,1.3656
148,0,-1.699,-0.80926,1.699
149,0,-1.8959,-0.80926,1.8959
150,0,-1.9549,-0.80926,1.9549
151,0,-1.7369,-0.80926,1.7369
152,0,-1.2406,-0.80926,1.2406
153,0,-0.66899,-0.80926,0.66899
154,0,-0.1504,-0.80926,0.1504
155,0,0.35777,-0.62915,-0.35777
156,0,0.71058,-0.40888,-0.71058
157,0,0.76638,-0.46777,-0.76638
158,0,0.6604,-0.48822,-0.6604
159,0,0.47367,-0.56435,-0.47367
160,0,0.21565,-0.75002,-0.21565
161,0,-0.089566,-0.78169,0.089566
162,0,-0.43774,-0.78317,0.43774
163,0,-0.79237,-0.78465,0.79237
164,0,-1.1012,-0.78612,1.1012
165,0,-1.356,-0.7876,1.356
166,0,-1.4979,-0.78908,1.4979
167,0,-1.3579,-0.79056,1.3579
168,0,-1.013,-0.79204,1.013
169,0,-0.50959,-0.79352,0.50959
170,0,0.098441,-0.61635,-0.098441
171,0,0.67192,0.08722,-0.67192
172,0,1.027,0.28963,-1.027
173,0,1.1353,-0.18984,-1.1353
174,0,1.1763,-0.10533,-1.1763
175,0,1.0907,0.22865,-1.0907
176,0,0.89291,0.14401,-0.89291
177,0,0.62777,-0.36835,-0.62777
178,0,0.3023,-0.75604,-0.3023
179,0,-0.064856,-0.80926,0.064856
180,0,-0.47039,-0.80926,0.47039
181,0,-0.82807,-0.80926,0.82807
182,0,-1.0225,-0.80926,1.0225
183,0,-1.0895,-0.80926,1.0895
184,0,-0.98272,-0.80926,0.98272
185,0,-0.57101,-0.70402,0.57101
186,0,-0.056756,-0.47497,0.056756
187,0,0.39937,-0.22736,-0.39937
188,0,0.78996,0.020263,-0.78996
189,0,0.99629,0.1773,-0.99629
190,0,0.96202,0.070712,-0.96202
191,0,0.80216,0.1466,-0.80216
192,0,0.535,-0.076874,-0.535
193,0,0.15999,-0.60483,-0.15999
194,0,-0.23119,-0.69804,0.23119
195,0,-0.71249,-0.70691,0.71249
196,0,-1.1879,-0.71578,1.1879
197,0,-1.5477,-0.72465,1.5477
198,0,-1.8318,-0.73352,1.8318
199,0,-1.9754,-0.74239,1.9754
200,0,-1.8863,-0.75126,1.8863
201,0,-1.5007,-0.76013,1.5007
202,0,-0.94501,-0.769,0.94501
203,0,-0.36737,-0.7364,0.36737
204,0,0.14656,-0.53146,-0.14656
205,0,0.49698,-0.29739,-0.49698
206,0,0.63874,-0.29369,-0.63874
207,0,0.59459,-0.55055,-0.59459
208,0,0.42231,-0.77711,-0.42231
209,0,0.1918,-0.80926,-0.1918
210,0,-0.045836,-0.80926,0.045836
211,0,-0.3596,-0.80926,0.3596
212,0,-0.76295,-0.80926,0.76295
213,0,-1.1797,-0.80926,1.1797
214,0,-1.4567,-0.80926,1.4567
215,0,-1.5691,-0.80926,1.5691
216,0,-1.5589,-0.80926,1.5589
217,0,-1.2984,-0.80926,1.2984
218,0,-0.86166,-0.80926,0.86166
219,0,-0.34041,-0.80926,0.34041
220,0,0.16356,-0.80926,-0.16356
221,0,0.57403,-0.43857,-0.57403
222,0,0.81505,0.06874,-0.81505
223,0,0.77255,-0.22397,-0.77255
224,0,0.63819,-0.54279,-0.63819
225,0,0.48628,-0.58751,-0.48628
226,0,0.26747,-0.776,-0.26747
227,0,-0.020348,-0.80926,0.020348
228,0,-0.37579,-0.80926,0.37579
229,0,-0.74138,-0.80926,0.74138
230,0,-1.0355,-0.80926,1.0355
231,0,-1.2455,-0.80926,1.2455
232,0,-1.373,-0.80926,1.373
233,0,-1.3157,-0.80926,1.3157
234,0,-0.96695,-0.80926,0.96695
235,0,-0.41362,-0.80926,0.41362
236,0,0.16767,-0.57261,-0.16767
237,0,0.65107,-0.18843,-0.65107
238,0,0.94474,0.083523,-0.94474
239,0,1.0448,0.090484,-1.0448
240,0,0.96696,-0.18713,-0.96696
241,0,0.77186,-0.50744,-0.77186
242,0,0.53044,-0.59108,-0.53044
243,0,0.20209,-0.63716,-0.20209
244,0,-0.22223,-0.7845,0.22223
245,0,-0.66095,-0.80926,0.66095
246,0,-1.0111,-0.80926,1.0111
247,0,-1.2571,-0.80926,1.2571
248,0,-1.4641,-0.80926,1.4641
249,0,-1.5271,-0.80926,1.5271
250,0,-1.3091,-0.80926,1.3091
251,0,-0.83849,-0.80926,0.83849
252,0,-0.26364,-0.69826,0.26364
253,0,0.28352,-0.45668,-0.28352
254,0,0.72812,0.068371,-0.72812
255,0,0.93678,0.17087,-0.93678
256,0,0.94364,-0.14974,-0.94364
257,0,0.87043,-0.13773,-0.87043
258,0,0.66232,-0.39884,-0.66232
259,0,0.41801,-0.75493,-0.41801
260,0,0.17124,-0.80926,-0.17124
261,0,-0.22702,-0.80926,0.22702
262,0,-0.74292,-0.80926,0.74292
263,0,-1.17,-0.80926,1.17
264,0,-1.4737,-0.80926,1.4737
265,0,-1.6656,-0.80926,1.6656
266,0,-1.6034,-0.80926,1.6034
267,0,-1.2102,-0.80926,1.2102
268,0,-0.69604,-0.80926,0.69604
269,0,-0.24417,-0.80926,0.24417
270,0,0.26913,-0.58517,-0.26913
271,0,0.72566,-0.20216,-0.72566
272,0,0.89483,-0.017987,-0.89483
273,0,0.82437,-0.19933,-0.82437
274,0,0.65958,-0.47759,-0.65958
275,0,0.45146,-0.59053,-0.45146
276,0,0.14903,-0.67307,-0.14903
277,0,-0.25993,-0.75561,0.25993
278,0,-0.71989,-0.80307,0.71989
279,0,-1.1068,-0.80926,1.1068
280,0,-1.4004,-0.80926,1.4004
281,0,-1.5799,-0.80926,1.5799
282,0,-1.5296,-0.80926,1.5296
283,0,-1.274,-0.80926,1.274
284,0,-1.0821,-0.80926,1.0821
285,0,-0.51041,-0.80926,0.51041
286,0,0.34096,-0.66894,-0.34096
287,0,0.81916,-0.19181,-0.81916
288,0,0.98491,0.10896,-0.98491
289,0,0.94282,-0.03425,-0.94282
290,0,0.79928,-0.03813,-0.79928
291,0,0.52879,-0.18602,-0.52879
292,0,0.19618,-0.60254,-0.19618
293,0,-0.18576,-0.78856,0.18576
294,0,-0.61707,-0.80926,0.61707
295,0,-1.0558,-0.80926,1.0558
296,0,-1.3896,-0.80926,1.3896
297,0,-1.6001,-0.80926,1.6001
298,0,-1.7291,-0.80926,1.7291
299,0,-1.5976,-0.80926,1.5976
300,0,-1.1564,-0.80926,1.1564
301,0,-0.5891,-0.74643,0.5891
302,0,-0.0078045,-0.4589,0.0078045
303,0,0.50357,-0.20697,-0.50357
304,0,0.75554,-0.19206,-0.75554
305,0,0.89401,-0.12455,-0.89401
306,0,0.97353,0.05137,-0.97353
307,0,0.82263,-0.19415,-0.82263
308,0,0.56416,-0.47294,-0.56416
309,0,0.29362,-0.42564,-0.29362
310,0,-0.074035,-0.5986,0.074035
311,0,-0.55593,-0.78265,0.55593
312,0,-1.006,-0.80926,1.006
313,0,-1.3123,-0.80926,1.3123
314,0,-1.5085,-0.80926,1.5085
315,0,-1.5519,-0.80926,1.5519
316,0,-1.2588,-0.80926,1.2588
317,0,-0.7358,-0.80926,0.7358
318,0,-0.10035,-0.48255,0.10035
319,0,0.47258,-0.18196,-0.47258
320,0,0.87346,-0.064741,-0.87346
321,0,1.1485,0.26462,-1.1485
322,0,1.2081,0.59792,-1.2081
323,0,1.1326,0.88564,-1.1326
324,0,0.93913,0.78955,-0.93913
325,0,0.62777,0.10545,-0.62777
326,0,0.29873,-0.45914,-0.29873
327,0,-0.086236,-0.63038,0.086236
328,0,-0.53701,-0.73879,0.53701
329,0,-0.96969,-0.80113,0.96969
330,0,-1.2949,-0.80926,1.2949
331,0,-1.4342,-0.80926,1.4342
332,0,-1.3714,-0.80926,1.3714
333,0,-1.0824,-0.80926,1.0824
334,0,-0.53509,-0.32338,0.53509
335,0,0.065673,0.33201,-0.065673
336,0,0.4941,0.39693,-0.4941
337,0,0.81012,0.30792,-0.81012
338,0,1.0115,0.36662,-1.0115
339,0,1.0251,0.3827,-1.0251
340,0,0.84859,0.31624,-0.84859
341,0,0.55374,0.10336,-0.55374
342,0,0.24299,-0.38868,-0.24299
343,0,-0.15245,-0.75826,0.15245
344,0,-0.64751,-0.80926,0.64751
345,0,-1.0946,-0.80926,1.0946
346,0,-1.3884,-0.80926,1.3884
347,0,-1.5779,-0.80926,1.5779
348,0,-1.6182,-0.80926,1.6182
349,0,-1.3782,-0.80926,1.3782
350,0,-0.9175,-0.80926,0.9175
351,0,-0.37139,-0.6857,0.37139
352,0,0.1843,-0.41677,-0.1843
353,0,0.63901,0.17136,-0.63901
354,0,0.83273,0.40777,-0.83273
355,0,0.84136,0.14352,-0.84136
356,0,0.73402,0.0056034,-0.73402
357,0,0.51974,-0.16681,-0.51974
358,0,0.26611,-0.49506,-0.26611
359,0,-0.014942,-0.76883,0.014942
360,0,-0.38401,-0.80527,0.38401
361,0,-0.85179,-0.80231,0.85179
362,0,-1.2318,-0.79936,1.2318
363,0,-1.405,-0.7964,1.405
364,0,-1.4586,-0.79344,1.4586
365,0,-1.4201,-0.79049,1.4201
366,0,-1.1174,-0.78753,1.1174
367,0,-0.59693,-0.78457,0.59693
368,0,-0.045794,-0.78162,0.045794
369,0,0.50534,-0.43017,-0.50534
370,0,0.95742,0.14069,-0.95742
371,0,1.2044,0.54883,-1.2044
372,0,1.1868,0.46469,-1.1868
373,0,0.98533,-0.052235,-0.98533
374,0,0.75867,-0.015524,-0.75867
375,0,0.62833,0.32252,-0.62833
376,0,0.2524,-0.1264,-0.2524
377,0,-0.34467,-0.72019,0.34467
378,0,-0.78845,-0.80926,0.78845
379,0,-1.1158,-0.80926,1.1158
380,0,-1.3445,-0.80926,1.3445
381,0,-1.4675,-0.80926,1.4675
382,0,-1.3297,-0.80926,1.3297
383,0,-0.911,-0.80926,0.911
384,0,-0.33849,-0.68989,0.33849
385,0,0.28174,-0.097078,-0.28174
386,0,0.79037,0.52425,-0.79037
387,0,1.0873,0.75222,-1.0873
388,0,1.1501,0.69352,-1.1501
389,0,1.0517,0.58886,-1.0517
390,0,0.83624,0.33213,-0.83624
391,0,0.50932,-0.17007,-0.50932
392,0,0.16566,-0.56743,-0.16566
393,0,-0.24636,-0.78136,0.24636
394,0,-0.67356,-0.80926,0.67356
395,0,-1.036,-0.80926,1.036
396,0,-1.2984,-0.80926,1.2984
397,0,-1.3821,-0.80926,1.3821
398,0,-1.3017,-0.80926,1.3017
399,0,-1.0764,-0.80926,1.0764
400,0,-0.61748,-0.69198,0.61748
401,0,0.030302,-0.17075,-0.030302
402,0,0.59994,0.14795,-0.59994
403,0,0.99957,0.31636,-0.99957
404,0,1.2373,0.73263,-1.2373
405,0,1.288,0.78012,-1.288
406,0,1.1725,0.50608,-1.1725
407,0,0.96969,0.59558,-0.96969
408,0,0.69522,0.31192,-0.69522
409,0,0.34946,-0.27854,-0.34946
410,0,-0.067592,-0.53651,0.067592
411,0,-0.55593,-0.77267,0.55593
412,0,-0.95474,-0.80926,0.95474
413,0,-1.2357,-0.80926,1.2357
414,0,-1.3591,-0.80926,1.3591
415,0,-1.2527,-0.80926,1.2527
416,0,-0.86768,-0.48255,0.86768
417,0,-0.26282,-0.10866,0.26282
418,0,0.34534,0.17961,-0.34534
419,0,0.86001,0.55154,-0.86001
420,0,1.2239,1.0749,-1.2239
421,0,1.3821,1.4124,-1.3821
422,0,1.3217,1.2146,-1.3217
423,0,1.1089,0.92875,-1.1089
424,0,0.83451,0.6974,-0.83451
425,0,0.55301,0.39188,-0.55301
426,0,0.23732,0.29566,-0.23732
427,0,-0.20715,-0.10028,0.20715
428,0,-0.65464,-0.71317,0.65464
429,0,-0.99163,-0.80926,0.99163
430,0,-1.2631,-0.80926,1.2631
431,0,-1.3632,-0.80926,1.3632
432,0,-1.1921,-0.80926,1.1921
433,0,-0.75911,-0.70873,0.75911
434,0,-0.19426,-0.48994,0.19426
435,0,0.39635,0.10262,-0.39635
436,0,0.83245,0.52345,-0.83245
437,0,1.0755,0.72277,-1.0755
438,0,1.1705,0.75419,-1.1705
439,0,1.0791,0.63802,-1.0791
440,0,0.8357,0.67177,-0.8357
441,0,0.49451,0.12849,-0.49451
442,0,0.13989,-0.55339,-0.13989
443,0,-0.27611,-0.78635,0.27611
444,0,-0.76431,-0.80926,0.76431
445,0,-1.1491,-0.80926,1.1491
446,0,-1.3996,-0.80926,1.3996
447,0,-1.5181,-0.80926,1.5181
448,0,-1.3977,-0.80926,1.3977
449,0,-1.0429,-0.80926,1.0429
450,0,-0.49972,-0.57889,0.49972
451,0,0.086927,-0.39792,-0.086927
452,0,0.62749,-0.084142,-0.62749
453,0,1.0359,0.54698,-1.0359
454,0,1.2291,0.94046,-1.2291
455,0,1.2529,1.0128,-1.2529
456,0,1.1053,0.87825,-1.1053
457,0,0.84931,0.57322,-0.84931
458,0,0.57878,0.2818,-0.57878
459,0,0.2694,0.17838,-0.2694
460,0,-0.16959,-0.26271,0.16959
461,0,-0.65821,-0.73867,0.65821
462,0,-1.0049,-0.80926,1.0049
463,0,-1.2348,-0.80926,1.2348
464,0,-1.3438,-0.80926,1.3438
465,0,-1.2222,-0.80926,1.2222
466,0,-0.8208,-0.67104,0.8208
467,0,-0.24142,-0.54612,0.24142
468,0,0.3618,-0.032032,-0.3618
469,0,0.87646,0.75715,-0.87646
470,0,1.1797,1.0548,-1.1797
471,0,1.2573,0.85927,-1.2573
472,0,1.2173,0.6958,-1.2173
473,0,1.0397,0.73472,-1.0397
474,0,0.71771,0.49203,-0.71771
475,0,0.37404,0.16249,-0.37404
476,0,-0.04264,-0.3192,0.04264
477,0,-0.54523,-0.74717,0.54523
478,0,-1.0048,-0.80926,1.0048
479,0,-1.303,-0.80926,1.303
480,0,-1.4789,-0.80926,1.4789
